timestamp	numstudies	numtrees	time	sha
1287683354	1	1	2010-10-21T12Z	
1287779225	2	2	2010-10-22T15Z	
1288759877	3	3	2010-11-02T23Z	
1288791489	4	4	2010-11-03T08Z	
1288846175	5	5	2010-11-03T23Z	
1289272631	6	6	2010-11-08T21Z	
1289281763	7	7	2010-11-08T23Z	
1298125018	8	9	2011-02-19T08Z	
1298264328	9	10	2011-02-20T22Z	
1298264667	10	12	2011-02-20T23Z	
1298308909	11	24	2011-02-21T11Z	
1298310691	12	25	2011-02-21T11Z	
1298311158	13	26	2011-02-21T11Z	
1298311593	14	29	2011-02-21T12Z	
1298312199	15	31	2011-02-21T12Z	
1298317019	16	32	2011-02-21T13Z	
1298328742	17	34	2011-02-21T16Z	
1298403933	18	38	2011-02-22T13Z	
1298405925	19	44	2011-02-22T14Z	
1298406589	20	45	2011-02-22T14Z	
1298412674	21	46	2011-02-22T16Z	
1298413594	22	47	2011-02-22T16Z	
1298413981	23	49	2011-02-22T16Z	
1298414509	24	50	2011-02-22T16Z	
1298414759	25	51	2011-02-22T16Z	
1298657182	26	58	2011-02-25T12Z	
1298657663	27	59	2011-02-25T12Z	
1298657827	28	60	2011-02-25T12Z	
1298658514	29	64	2011-02-25T12Z	
1298659175	30	65	2011-02-25T12Z	
1298659379	31	68	2011-02-25T12Z	
1298659885	32	69	2011-02-25T12Z	
1298822910	33	72	2011-02-27T10Z	
1298954918	34	74	2011-02-28T22Z	
1299017012	35	81	2011-03-01T16Z	
1299017628	36	82	2011-03-01T16Z	
1299077453	37	82	2011-03-02T08Z	
1299079394	38	82	2011-03-02T09Z	
1299159754	39	84	2011-03-03T07Z	
1299694857	40	85	2011-03-09T12Z	
1299695824	41	89	2011-03-09T12Z	
1299696101	42	91	2011-03-09T12Z	
1299696828	43	92	2011-03-09T12Z	
1299697471	44	93	2011-03-09T13Z	
1299697874	45	95	2011-03-09T13Z	
1299698100	46	99	2011-03-09T13Z	
1299698583	47	100	2011-03-09T13Z	
1299700577	48	102	2011-03-09T13Z	
1299700716	49	106	2011-03-09T13Z	
1299700975	50	107	2011-03-09T14Z	
1299701608	51	108	2011-03-09T14Z	
